정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Unnamed: 54
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,청소년,0,0,76,0,19,1,30,5,40,133,41,25,111,10,216,10,366,15,328,32,573,22,911,32,620,29,637,39,484,23,504,21,389,10,417,10,524,5,204,4,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,경로,0,0,2,0,1,0,6,0,32,1,20,3,12,5,18,3,25,4,37,3,20,2,27,1,12,0,5,4,7,0,2,0,4,4,3,0,4,0,0,1,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,장애인,0,0,1,0,3,0,4,0,2,0,7,6,5,0,2,1,5,3,5,0,0,1,2,0,13,0,6,0,0,0,3,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,국가유공자,0,0,0,0,0,0,10,0,0,1,1,2,1,2,0,1,1,0,0,0,2,1,1,0,0,0,6,0,0,1,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,일반인,0,0,386,1,400,71,826,68,737,387,818,450,1379,402,2549,272,3043,250,3882,324,5302,199,5469,191,4655,221,5655,250,5394,310,4280,208,4040,195,5103,158,5168,126,2221,64,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,어린이,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,7,4,4,6,11,9,11,12,15,9,11,9,7,17,9,12,3,16,6,3,1,6,0,3,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,청소년,0,0,63,0,25,0,19,9,36,113,43,31,80,17,189,14,452,30,402,62,521,33,865,43,613,24,710,57,476,62,427,33,381,17,451,13,646,11,316,3,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,경로,0,0,2,0,2,0,6,0,12,1,18,4,9,4,12,1,35,5,25,4,26,1,26,0,16,0,6,2,7,0,4,0,3,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,장애인,0,0,1,0,11,1,13,1,2,2,4,4,1,0,1,0,7,0,2,0,6,0,4,0,7,1,7,0,8,0,6,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,국가유공자,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-06,일반인,0,0,314,5,406,51,799,49,741,335,778,384,1318,317,2264,213,2268,240,2901,267,3551,197,3882,176,3992,217,4392,300,3747,310,2587,203,2490,197,2813,138,2841,136,1372,62,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,6,11,7,17,7,18,9,8,5,12,13,5,1,13,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-06,청소년,0,0,31,0,36,2,12,4,25,133,35,16,85,8,175,9,180,19,199,29,325,16,616,27,488,40,425,48,297,23,368,26,252,24,228,4,218,5,84,3,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-06,경로,0,0,2,0,5,0,6,0,33,2,23,5,25,4,13,1,22,3,29,4,41,1,21,2,5,1,4,4,4,0,5,0,6,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-06,장애인,0,0,0,0,0,1,5,0,3,1,4,5,1,1,3,0,2,3,4,0,6,0,3,0,3,0,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-06,국가유공자,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-07,일반인,0,0,187,1,371,51,740,62,725,321,737,340,924,264,1402,216,1617,255,1864,251,1867,189,2467,207,3570,229,3511,292,2794,338,1553,252,1551,207,1758,145,1848,149,722,56,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-07,어린이,0,0,0,0,1,0,2,0,0,0,1,2,4,0,3,3,3,12,17,12,13,16,15,11,5,5,9,12,11,6,4,4,3,3,6,2,0,2,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-07,청소년,0,0,10,0,7,0,9,12,16,68,12,7,32,6,81,14,251,26,186,46,153,33,458,38,522,63,241,48,179,33,140,33,118,29,117,14,125,10,28,3,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-07,경로,0,0,1,0,3,1,2,0,45,6,17,5,16,0,15,5,32,6,21,15,26,4,19,4,6,3,7,6,4,4,2,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-07,장애인,0,0,0,0,1,1,2,0,0,0,4,3,2,0,1,0,2,0,3,0,4,0,1,0,5,0,15,0,5,0,6,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-07,국가유공자,0,0,0,0,0,0,11,0,0,0,2,0,1,1,1,0,3,0,0,1,0,0,1,0,1,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-08,일반인,0,0,125,1,363,67,692,64,768,420,830,411,1039,396,1468,237,1728,292,2186,292,2763,215,2872,211,4003,255,3768,347,3139,336,1942,274,2012,209,2234,151,2246,158,883,66,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-08,어린이,0,0,0,0,0,0,0,0,1,2,1,0,0,4,5,7,9,11,10,2,22,9,11,3,6,11,8,7,13,11,7,0,4,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-08,청소년,0,0,6,0,14,1,7,7,16,50,13,8,40,10,71,8,89,25,135,36,168,28,452,60,301,68,238,32,171,40,146,33,195,31,137,7,135,6,44,6,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-08,경로,0,0,0,0,0,0,9,0,36,5,19,6,18,5,20,5,28,4,12,4,22,4,18,8,13,0,7,4,5,1,4,0,6,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-08,장애인,0,0,0,0,0,0,8,1,1,2,3,4,2,1,1,0,1,0,4,0,5,1,1,2,2,1,5,0,10,0,4,1,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-08,국가유공자,0,0,0,0,0,0,10,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0,2,0,0,0,8,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-09,일반인,0,0,146,7,351,48,663,55,657,455,651,420,1233,470,2575,282,2833,240,3645,330,4741,245,5250,201,4908,232,5826,289,5330,334,3732,234,3673,213,4331,212,3784,173,1602,74,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-09,어린이,0,0,0,0,0,0,0,0,0,6,1,0,2,0,4,13,2,5,11,8,10,7,11,7,12,8,7,4,4,6,4,6,7,1,3,0,4,0,2,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-09,청소년,0,0,12,0,11,3,4,9,17,55,17,7,60,8,74,15,133,19,159,22,240,19,679,32,380,36,349,38,244,26,199,31,239,14,193,8,171,7,80,2,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-09,경로,0,0,1,0,1,0,4,2,29,4,16,5,22,7,19,1,18,3,22,4,19,1,19,2,18,4,13,4,6,0,6,1,2,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-09,장애인,0,0,3,0,0,1,3,0,0,4,1,1,8,5,6,5,2,0,12,1,0,1,2,0,9,0,8,0,4,1,1,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-09,국가유공자,0,0,0,0,1,0,11,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-10,일반인,0,0,200,4,341,49,732,48,779,422,752,329,1358,400,2569,249,3049,265,3620,259,5093,241,4983,188,5280,216,5604,271,5122,282,3562,261,3572,194,3925,173,3698,162,1575,60,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-10,어린이,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,3,12,9,14,11,12,12,28,11,14,15,10,18,7,6,10,2,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-10,청소년,0,0,7,0,14,1,7,7,18,74,18,11,50,8,88,7,241,16,184,13,226,28,649,25,333,54,281,27,234,38,234,26,183,20,163,14,146,2,54,2,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-10,경로,0,0,0,0,0,0,4,3,39,2,24,6,21,5,19,9,22,4,32,2,19,3,20,2,22,3,7,0,6,0,4,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,
