정류장,count
주안역환승정류장,136
인하대역(7번출구),71
신기.남부종합시장(진흥사거리),67
롯데백화점(인천터미널),62
남중학교,52
토지금고시장,39
동아풍림아파트,36
정석항공과학고,24
동인천역,23
풍림아이원아파트,22
주안7동행정복지센터,21
송내역남부,18
인천향교유림회관,16
용현시장,16
원흥아파트,15
송도유원지(도로교통공단),14
동인천,14
신포시장,13
인천대입구역,13
장미아파트,12
현대3차아파트,12
신동아아파트3차,12
신동아아파트,11
인하대후문,11
인하대역(1번출구),10
계룡리슈빌,10
제물포역,10
주안역,9
동막역(1번출구),9
백운역,9
복지회관,9
태화.두진아파트,8
금호2차아파트,7
숭의초등학교,7
부천시청역3번출구.경기예고.현대백화점,7
인천정보과학고등학교,7
(구)시민회관사거리,7
홍대입구역,7
관교중학교(약수터),7
약대사거리,7
수봉마을쉼터,7
숭의로터리,7
인수초등학교,6
문학초등학교,6
은봉초등학교,6
신중동역6번출구.중흥중학교,6
인천예림학교(인천성모병원),6
대림아파트,6
금호타운,6
호반써밋송도,6
대동아파트,5
미송초등학교,5
구월아시아드6단지,5
CJ인천2공장,5
관교여자중학교,5
학익2동행정복지센터,4
옹진군청,4
학산소극장,4
길병원,4
인명여자고등학교,4
합정역,4
용현초등학교입구,4
올리브백화점,4
인하대병원,4
학익사거리(동아풍림아파트),4
송도재래시장,4
월드메르디앙아파트,3
노인복지회관,3
삼미시장,3
학익시장(법원검찰청),3
로얄아파트,3
신비마을아파트(112동),3
석암초등학교,3
도화오거리,3
학익시장,3
학익고등학교,3
연학초등학교,3
석바위,3
대인고등학교,3
남동초등학교,3
구월2동행정복지센터,3
강남역서초현대타워앞,2
용현중학교,2
구월아시아드8단지,2
서창센트럴푸르지오,2
성원아파트,2
부천시청역1번출구,2
미추홀구청,2
인천미래생활고등학교,2
상동역1번출구.부천터미널소풍.홈플러스,2
우림필유아파트,2
신창아파트,2
금호아파트,2
루원이편한세상하늘채(112동),2
삼영아파트,2
신성성결교회(올림피아병원),2
신동아3차아파트,2
시민의숲.양재꽃시장,2
태화두진아파트,2
논현14단지등대마을,2
송도고입구,2
용일사거리,2
청능로사거리,2
석남신사거리,2
송도파크레인동일하이빌,1
인천교통공사,1
현대시장,1
송도파크자이,1
서초역,1
남인천농협백운지점,1
석천사거리역,1
하늘휴게소,1
숭의2동행정복지센터,1
근로복지공단인천병원,1
현대아파트,1
힐캐슬프라자,1
송도풍림아이원2단지,1
만수4동주민센터,1
학익동성당앞,1
재흥시장,1
윤성아파트(인항고교),1
기점(미정차),1
동막역(3번출구),1
아주아파트.미추홀학교,1
양재역,1
인하대역4번출구,1
학익시장앞,1
풍림아파트,1
미추홀구청입구,1
학산사거리,1
주안파크자이더플래티넘아파트,1
용현3동행정복지센터.보훈병원,1
송림오거리,1
중구문화회관,1
독정이고개,1
신라아파트,1
인천논현중학교,1
한라아파트,1
남동구청후문(남동등기소),1
경남아너스빌,1
도림주공1단지,1
아현역,1
극동.금호아파트,1
주안사거리,1
상동역8번출구세이브존,1
서울역,1
신촌오거리.현대백화점,1
정병원,1
금호어울림아파트,1
송림4동행정복지센터,1
검암역(시내방면),1
두산위브아파트,1
신비마을아파트,1
신선초등학교앞,1
숭의역(2번출구),1
남광로얄아파트,1
시민공원,1
교보생명,1
용현고개,1
인천소방본부,1
인천기계공고,1
주안2동치안센터,1
가정(루원시티)역,1
용남시장,1
문학정보고입구,1
서창119안전센터,1
임광그대가103동,1
센타빌딩,1
신명아파트.대우3차아파트,1
벽산이삭아파트,1
동산고,1
법원.검찰청,1
