정류장,count
주안역환승정류장,143
롯데백화점(인천터미널),99
주안역,85
인하대역(7번출구),83
동인천,59
남중학교,53
인하대역(1번출구),46
송내역남부,45
동인천역,30
강남역서초현대타워앞,30
(구)시민회관사거리,29
홍대입구역,25
제물포역,24
인명여자고등학교,20
나사렛국제병원앞,18
신기.남부종합시장(진흥사거리),15
청능로사거리,14
남동구청후문(남동등기소),12
부천시청역3번출구.경기예고.현대백화점,12
용현시장,12
문학초등학교,11
토지금고시장,11
송도유원지(도로교통공단),11
인하대후문,10
부평역,10
원흥아파트,9
로얄아파트,7
주안7동행정복지센터,7
남동경찰서.남촌농산물도매시장,7
인하대병원,7
학익시장앞,7
수봉마을쉼터,7
풍림아이원아파트,7
숭의2동행정복지센터,6
정석항공과학고,6
동막역(1번출구),5
삼환아파트,5
검암역(시내방면),5
도화오거리,5
시민의숲.양재꽃시장,5
인천가정법원.인천지방법원등기국,4
상동역1번출구.부천터미널소풍.홈플러스,4
숭의로터리,4
법원검찰청입구,4
남광로얄아파트,4
교대역,4
중구문화회관,4
선바위역,4
운연역,4
쌍용아파트,3
남구평생학습센터,3
루에블리아파트,3
서울역,3
석바위,3
동아풍림아파트,3
양재역,3
신동아아파트5차,2
신포시장,2
삼미시장,2
백운역,2
용현3동행정복지센터.보훈병원,2
신동아아파트3차,2
대림아파트,2
항운아파트,2
심곡극동아파트,2
합정역,2
신동아3차아파트,2
남인천여자중학교,2
신중동역6번출구.중흥중학교,2
인천미래생활고등학교,2
송도파크레인동일하이빌,2
서교동,2
서초역,2
주안사거리,2
연안아파트,2
용현고개,2
인천지방법원,1
장미아파트,1
삼영아파트,1
인하대정문,1
미추홀구청입구,1
교보생명,1
인하대역4번출구,1
학익시장(법원검찰청),1
인천향교유림회관,1
학익시장,1
힐스테이트푸르지오주안,1
학산사거리,1
신동아아파트,1
논현12단지산뒤마을,1
태평아파트.주안한신휴플러스아파트,1
힘찬병원,1
인천시청후문,1
정병원,1
태화두진아파트,1
약대사거리,1
계룡리슈빌,1
정부인천지방합동청사,1
인천의료원,1
독정이고개,1
가현중학교,1
은지초등학교사거리,1
루원이편한세상하늘채(125동),1
호반써밋송도,1
주안파크자이더플래티넘아파트,1
미송초등학교,1
올리브백화점,1
구월2동행정복지센터,1
신촌오거리.현대백화점,1
미추홀구청,1
신중동역4번출구.롯데백화점,1
주안3동행정복지센터,1
용현초등학교입구,1
구월아시아드6단지,1
도림아이파크아파트,1
남촌풍림3차아파트,1
모래내시장역(3번출구),1
구월아시아드은빛호수공원,1
인수초등학교,1
신성성결교회(올림피아병원),1
미추홀도서관.인천신월초등학교,1
연안부두어시장,1
순복음교회,1
신선초등학교,1
남동구청,1
충정로역2호선,1
하늘휴게소,1
