정류장,count
주안역환승정류장,161
롯데백화점(인천터미널),116
주안역,64
인하대역(7번출구),60
동인천,52
남중학교,51
동인천역,45
(구)시민회관사거리,45
강남역서초현대타워앞,34
송내역남부,26
인하대역(1번출구),22
제물포역,17
용현시장,14
현대3차아파트,14
홍대입구역,14
정석항공과학고,13
인하대후문,11
동막역(1번출구),11
주안7동행정복지센터,10
신기.남부종합시장(진흥사거리),10
서화초등학교(도화e편한세상),9
원흥아파트,9
인천미래생활고등학교,9
검암역(시내방면),8
나사렛국제병원앞,8
인하대병원,7
석바위,7
문학초등학교,7
법원.검찰청,7
부천시청역3번출구.경기예고.현대백화점,7
주안현대아파트,7
영남아파트,7
숭의2동행정복지센터,7
교대역,7
CJ인천2공장,7
풍림아이원아파트,7
제물포시장,6
인명여자고등학교,6
항운아파트,6
인천예림학교(인천성모병원),6
송도유원지(도로교통공단),6
신동아아파트,6
인천대학교공과대학,6
남동초등학교,5
토지금고시장,5
남동구청후문(남동등기소),5
대인고등학교,5
청능로사거리,5
장미아파트,5
인하대역4번출구,4
송도파크레인동일하이빌,4
중구문화회관,4
서울역,4
주안사거리,4
검바위역,4
학익2동행정복지센터,4
신동아아파트3차,4
금호아파트,4
학산사거리,3
모래내시장역(3번출구),3
관교중학교(약수터),3
신촌오거리.현대백화점,3
약대사거리,3
양재역,3
SK주유소앞,3
선바위역,3
신중동역6번출구.중흥중학교,2
윤성아파트(인항고교),2
e편한세상정문,2
호반써밋송도,2
현대시장,2
도화오거리,2
유원아파트,2
서초역,2
인천향교.인천도호부청사,2
대림아파트,2
학익시장(법원검찰청),2
남광로얄아파트,2
한국아파트,2
학익사거리(동아풍림아파트),2
간석오거리(인천웨딩홀),2
부원중학교,2
용현3동행정복지센터.보훈병원,2
백마장입구,2
벽산.이삭아파트,2
금호2차아파트,2
용일사거리,2
도림주공1단지,2
남동구청,2
숭의로터리,2
합정역,2
계룡리슈빌,2
신창아파트,2
인하대병원입구,2
인하대정문,2
송도풍림아이원2단지,1
인천향교유림회관,1
현대5차아파트,1
신포시장,1
기점(미정차),1
숭의역(1번출구),1
동아풍림아파트,1
시민의숲.양재꽃시장,1
석암초등학교앞,1
하나로쇼핑,1
두산위브아파트,1
인천출입국.외국인청,1
인천대정문,1
구월도매전통시장,1
진흥아파트,1
제물포역(동양빌딩),1
구월2동행정복지센터,1
인천시청후문,1
정병원,1
태화두진아파트,1
아현역,1
충정로역2호선,1
인천항신국제여객터미널,1
가정(루원시티)역,1
석남신사거리,1
검암중학교,1
롯데슈퍼,1
인천교통공사,1
복지회관,1
간석오거리,1
길병원,1
힘찬병원,1
신중동역5번출구.중흥중학교,1
서교동,1
풍림아파트,1
수봉마을쉼터,1
용현고가교,1
구월아시아드6단지,1
남동경찰서.남촌농산물도매시장,1
운연역,1
신천역.문화의거리,1
굴다리오거리,1
구월도매시장,1
벽산이삭아파트,1
모래내시장역(2번출구),1
학익고등학교,1
삼환아파트,1
인천논현중학교,1
라이프아파트,1
하늘휴게소,1
