정류장,count
주안역환승정류장,112
신기.남부종합시장(진흥사거리),78
인하대역(7번출구),60
토지금고시장,51
용현시장,44
롯데백화점(인천터미널),41
원흥아파트,28
남중학교,26
송내역남부,24
풍림아이원아파트,23
동인천역,19
신창아파트,18
인천대입구역,18
인천향교유림회관,17
호반써밋송도,15
문학초등학교,14
주안7동행정복지센터,12
정석항공과학고,12
벽산이삭아파트,12
연학초등학교,11
장미아파트,11
남동구청,11
학익고등학교,11
수봉마을쉼터,11
신동아아파트,10
용현3동행정복지센터.보훈병원,10
제물포역,10
인하대병원,10
인하대역(1번출구),9
태화두진아파트,9
삼영아파트,9
대동아파트,8
신동아아파트3차,8
인하대후문,8
인명여자고등학교,7
현대3차아파트,7
길병원사거리,7
인천향교.인천도호부청사,6
서창센트럴푸르지오,6
쌍용아파트,6
대림아파트,6
계룡리슈빌,6
송도유원지(도로교통공단),6
용일사거리,6
신동아3차아파트,6
학익시장(법원검찰청),6
복지회관,6
(구)시민회관사거리,6
학익사거리(동아풍림아파트),6
동막역(1번출구),5
주안역,5
두산위브아파트,5
남동초등학교,5
약대사거리,5
한양아파트,5
동아풍림아파트,5
숭의로터리,5
신중동역6번출구.중흥중학교,4
옹진군청,4
신포시장,4
송림오거리,4
홍대입구역,4
현대시장,4
남동구청후문(남동등기소),4
합정역,4
문학우체국,4
토지금고시장앞,4
학익2동행정복지센터,4
학익시장,4
길병원,4
부천시청역3번출구.경기예고.현대백화점,4
강남역서초현대타워앞,3
도화오거리,3
주안파크자이더플래티넘아파트,3
미추홀구청입구,3
학익사거리,3
양재역,3
부평시장,3
수봉공원,3
용현중학교,3
신동아아파트8차,3
주안사거리,3
현대5차아파트,3
상동역1번출구.부천터미널소풍.홈플러스,3
아주아파트.미추홀학교,3
금호2차아파트,3
송도재래시장,2
힘찬병원,2
송도파크레인동일하이빌,2
도림주공1단지,2
서창119안전센터,2
인천소방본부,2
신성성결교회(올림피아병원),2
센타빌딩,2
인천기계공고,2
문학경로당,2
부원중학교,2
석바위,2
숭덕여중고입구,2
구월2동행정복지센터,2
올리브백화점,2
루원이편한세상하늘채(112동),2
루원이편한세상하늘채(125동),2
주안2동치안센터,2
서초역,2
인천정보과학고등학교,2
동인천,2
e편한세상정문,2
부평구청,2
풍림아파트,2
중구노인복지회관,2
제물포역(동양빌딩),2
윤성아파트(인항고교),2
남광로얄아파트,2
교보생명,2
주안3동행정복지센터,2
동교동삼거리,2
삼성빌라(종점),2
검암중학교,2
신비마을아파트,2
인천예림학교(인천성모병원),2
미송초등학교,2
용남시장,2
교대역,2
서교동,2
학산소극장,2
만수4동주민센터,1
선바위역,1
신동아1.2차아파트,1
정광아파트(병무청),1
숭의초등학교,1
학익여자고등학교,1
힐캐슬프라자,1
인하대역4번출구,1
동막역(3번출구),1
송학둥지아파트,1
래미안아파트파이낸셜뉴스,1
하나로쇼핑,1
용현5동행정복지센터,1
신동아아파트5차,1
학산사거리,1
송도중학교,1
옹진농협,1
인천대공원,1
인수초등학교,1
미추홀구청,1
대인고등학교,1
구월아시아드은빛호수공원,1
삼환아파트,1
신중동역5번출구.중흥중학교,1
이대역,1
서울역,1
인천시청후문,1
정병원,1
신촌오거리.현대백화점,1
인천미래생활고등학교,1
아시아드경기장(공촌사거리)역,1
인천논현중학교,1
로얄아파트,1
도화동신협(구박문여고),1
용일초등학교,1
은영아파트,1
숭의교회,1
검암사거리,1
부평역(북인천우체국),1
현대아파트,1
금호아파트,1
논현14단지등대마을휴먼시아아파트,1
진흥아파트,1
제물포시장,1
금호타운,1
숭의초등학교입구,1
독배로317번길(삼거리),1
장미아파트(19동)앞,1
용현초등학교입구,1
문학경기장(야구장),1
영남아파트,1
남동경찰서.남촌농산물도매시장,1
구월아시아드8단지,1
남동세무서,1
중구문화회관,1
논현9단지냇마을신영지웰A정문,1
효성상아아파트,1
부평역,1
태화.두진아파트,1
삼익.광명아파트,1
방죽삼거리,1
한신아파트,1
소래포구입구,1
벽산아파트(미추홀도서관),1
구월아시아드6단지,1
하늘휴게소,1
