정류장,count
주안역환승정류장,157
롯데백화점(인천터미널),80
주안역,61
인하대역(1번출구),60
동인천역,52
인하대역(7번출구),46
제물포역,41
(구)시민회관사거리,37
강남역서초현대타워앞,33
기점(미정차),29
남중학교,24
석암초등학교앞,24
인명여자고등학교,22
인하대후문,20
동인천,18
홍대입구역,17
나사렛국제병원앞,14
송도파크레인동일하이빌,14
무지개아파트(동남아파트),14
문학초등학교,13
청능로사거리,12
합정역,11
송도유원지(도로교통공단),11
용현고개,11
용현시장,9
벽산이삭아파트,9
용현고가교,9
미송초등학교,9
학산사거리,9
중구문화회관,8
아주아파트.미추홀학교,8
학익사거리(동아풍림아파트),7
신포시장,6
동춘동종점,6
인천항신국제여객터미널,6
용일사거리,5
도화오거리,5
원흥아파트,5
석바위,5
CJ인천2공장,5
교대역,5
동아풍림아파트,4
주안7동행정복지센터,4
라이프아파트,4
풍림아파트,4
남촌풍림2차아파트,4
인천향교.인천도호부청사,4
인하대역4번출구,4
인천대입구역,4
한국아파트,3
남동구청,3
신기.남부종합시장(진흥사거리),3
남동초등학교,3
숭의역(2번출구),3
가좌농협,3
신중동역6번출구.중흥중학교,3
풍림아이원아파트,3
상동역1번출구.부천터미널소풍.홈플러스,3
문학경기장(야구장),3
미추홀구청,3
서울역,3
동막역(3번출구),3
로얄아파트,3
석천사거리역,3
송도풍림아이원2단지,3
독배로317번길(삼거리),2
현광아파트후문,2
재흥시장,2
간석오거리(인천웨딩홀),2
삼영아파트,2
효성상아아파트,2
학익시장앞,2
현광아파트,2
학익고등학교,2
삼미시장,2
문학정보고입구,2
송도파크자이,2
신명아파트.대우3차아파트,2
문학경기장(월드컵경기장),2
송도라마다호텔앞,2
인천시청후문,2
도림주공208동,2
장미아파트,2
선바위역,2
정석항공과학고,2
구월2동행정복지센터,2
부천시청역3번출구.경기예고.현대백화점,2
약대사거리,2
e편한세상정문,2
월드메르디앙아파트,2
논현11단지단풍마을A정문,2
학익시장,1
한진아파트,1
제물포역(동양빌딩),1
양곡도매시장,1
동막역(1번출구),1
만수4동주민센터,1
힐캐슬프라자,1
인천대정문,1
인천가톨릭대,1
하늘휴게소,1
학익시장(법원검찰청),1
해양경찰청,1
금호아파트,1
래미안아파트파이낸셜뉴스,1
남광로얄아파트,1
하나아파트,1
배다리,1
인하대정문,1
용현초등학교입구,1
학익동성당앞,1
송도중학교,1
윤성아파트(인항고교),1
미추홀서사거리,1
인천준법지원센터.미추홀트루엘파크,1
삼성빌라(종점),1
힐스테이트학익104동앞,1
도화IC,1
인천의료원,1
이대역,1
정병원,1
태화두진아파트,1
충정로역2호선,1
서구청역(1번출구),1
송림4동행정복지센터,1
루원이편한세상하늘채(112동),1
주안3동행정복지센터,1
한국국토정보공사인천북부지사,1
루원이편한세상하늘채(125동),1
정부인천지방합동청사,1
랜드마크시티센트럴더샵,1
힘찬병원,1
아암물류단지,1
금호어울림아파트,1
롯데슈퍼,1
청운대삼거리(하늘꿈교회),1
부평구청·부평세무서,1
남구평생학습센터,1
동양화학,1
길병원사거리,1
2001아울렛,1
백운역,1
현대아파트,1
극동.금호아파트,1
선유고등학교,1
대림아파트,1
순복음교회,1
장미아파트(19동)앞,1
인천소방본부,1
주안파크자이더플래티넘아파트,1
운연역,1
은행초등학교,1
서창센트럴푸르지오,1
인천향교유림회관,1
연안부두(신선초등학교),1
성문아파트(문화연립),1
굴다리오거리,1
미추홀도서관.인천신월초등학교,1
구월아시아드6단지,1
주안사거리,1
항동7가버스차고지,1
도림주공1단지,1
대우푸르지오복합상가,1
구월도매시장,1
벽산아파트(미추홀도서관),1
논현초등학교,1
논현12단지산뒤마을,1
진흥아파트,1
서교동,1
계룡리슈빌,1
상동역8번출구세이브존,1
서초아트자이아파트,1
