정류장,count
주안역환승정류장,89
인하대역(7번출구),46
토지금고시장,37
원흥아파트,34
제물포역,31
벽산이삭아파트,29
풍림아이원아파트,24
문학초등학교,23
주안역,21
주안7동행정복지센터,20
인천향교유림회관,19
인천대입구역,19
용현시장,19
(구)시민회관사거리,19
수봉마을쉼터,19
롯데백화점(인천터미널),18
신기.남부종합시장(진흥사거리),17
계룡리슈빌,16
호반써밋송도,16
용정초등학교,15
동인천역,14
현대3차아파트,14
인하대역4번출구,13
대림아파트,13
인명여자고등학교,12
남동세무서,12
인천미래생활고등학교,12
연학초등학교,12
도림주공1단지,11
신동아아파트,11
삼영아파트,10
신동아아파트3차,10
SK스카이뷰104동,10
학산소극장,10
동인천,10
장미아파트,10
인천의료원,9
인하대역(1번출구),9
신동아아파트5차,9
남중학교,8
용일사거리,8
인수초등학교,8
태화두진아파트,8
삼익.광명아파트,8
동막역(1번출구),7
인천교통공사,7
신비마을아파트,7
문학우체국,7
서창센트럴푸르지오,7
송내역남부,6
백운프라자,6
동아풍림아파트,6
신동아3차아파트,6
인천소방본부,6
인천기계공고,6
수봉공원,6
백산아파트,6
주안3동행정복지센터,5
신동아아파트4차,5
학익시장(법원검찰청),5
논현14단지등대마을,5
문학경로당,5
동막역(3번출구),5
신중동역6번출구.중흥중학교,5
쌍용아파트,5
인천용학초등학교,4
용현중학교,4
송도풍림아이원2단지,4
대동아파트,4
관교중학교(약수터),4
학익사거리(동아풍림아파트),4
학산사거리,4
송도파크레인동일하이빌,4
e편한세상정문,4
중구문화회관,4
송도유원지(도로교통공단),4
용현3동행정복지센터.보훈병원,4
인하대후문,4
윤성아파트(인항고교),4
부천시청역3번출구.경기예고.현대백화점,3
신동아아파트8차,3
현대4차아파트,3
진흥아파트,3
도화오거리,3
학익2동행정복지센터,3
인천시청후문,3
금호타운,3
약대사거리,3
용현고개,3
교통방송사거리,3
구월2동행정복지센터,3
서창이편한세상1002동,3
석락아파트,3
독정이고개,3
유원아파트,3
논현14단지등대마을휴먼시아아파트,3
도림아이파크아파트,3
학익고등학교,3
남인천세무서,3
하늘휴게소,3
구월아시아드은빛호수공원,3
토지금고시장앞,3
홍대입구역,2
양재역,2
숭의2동행정복지센터,2
백운역,2
송도중학교,2
신동아1.2차아파트,2
숭의역(1번출구),2
연합의원,2
인천향교.인천도호부청사,2
숭의로터리,2
우진아파트,2
랜드마크시티센트럴더샵(106동),2
송림오거리,2
라이프아파트,2
신촌오거리.현대백화점,2
석바위,2
청능로사거리,2
신창아파트,2
은봉초등학교,2
금호2차아파트,2
작은구월사거리,2
벽산.이삭아파트,2
인천대공원,2
태화.두진아파트,2
힘찬병원,2
서창퍼스트뷰후문,2
신성성결교회(올림피아병원),2
구월아시아드6단지,2
옹진군청,2
남동초등학교,2
두산위브아파트,2
로얄아파트,2
법원.검찰청,1
아주아파트.미추홀학교,1
한국아파트,1
종점(병무청),1
나사렛국제병원앞,1
송도재래시장,1
하나로쇼핑,1
만수주공4단지,1
국민건강보험남부지사,1
석바위시장역,1
하나아파트,1
송도파크자이,1
제운사거리(청년창업특화거리),1
만수4동주민센터,1
교대역,1
배다리,1
교보생명,1
남광로얄아파트,1
서초힐스아파트,1
서해그랑블아파트후문,1
숭의초등학교,1
인하대병원,1
방촌공원,1
신중동역4번출구.롯데백화점,1
극동.금호아파트,1
서울역,1
정병원,1
상동역1번출구.부천터미널소풍.홈플러스,1
검바위역,1
연희동행정복지센터,1
풍림1차아파트,1
월드메르디앙아파트,1
미송초등학교,1
동원아파트,1
금호아파트,1
부평구청·부평세무서,1
올리브백화점,1
신라아파트,1
도림주공208동,1
항운아파트,1
굴다리,1
인천지방법원,1
삼성빌라(종점),1
정석항공과학고,1
용현고가교,1
숭의초등학교입구,1
용남파출소,1
주안파크자이더플래티넘아파트,1
부평구청,1
힐스테이트푸르지오주안,1
센타빌딩,1
서창119안전센터,1
엑슬루타워,1
구월아시아드8단지,1
벽산아파트(미추홀도서관),1
시민의숲.양재꽃시장,1
