정류장,count
주안역환승정류장,151
인하대역(7번출구),126
롯데백화점(인천터미널),111
주안역,84
동인천,67
남중학교,59
인하대역(1번출구),38
송내역남부,37
홍대입구역,25
강남역서초현대타워앞,25
동인천역,24
(구)시민회관사거리,24
나사렛국제병원앞,16
대동아파트,15
송도유원지(도로교통공단),15
주안7동행정복지센터,14
인하대역4번출구,12
용현시장,10
부천시청역3번출구.경기예고.현대백화점,10
신기.남부종합시장(진흥사거리),10
제물포역,10
토지금고시장,8
신동아아파트3차,8
인하대후문,8
송도파크레인동일하이빌,7
부평역,7
동막역(1번출구),7
문학초등학교,6
홍익자원,6
인하대병원,6
서초역,5
신포시장,5
교대역,5
정석항공과학고,5
인명여자고등학교,5
서울역,4
학산사거리,4
미추홀구청입구,4
도화오거리,4
풍림아이원아파트,3
서창퍼스트뷰후문,3
운연역,3
석바위,3
삼환아파트,3
힘찬병원,3
남동구청후문(남동등기소),3
호반써밋송도,3
시민의숲.양재꽃시장,3
법원.검찰청,3
선바위역,3
청능로사거리,3
용현고개,3
송림오거리,3
동아풍림아파트,2
소래포구입구,2
남동구청,2
인천향교.인천도호부청사,2
석락아파트,2
유원아파트,2
굴다리오거리,2
남동경찰서.남촌농산물도매시장,2
삼미시장,2
두산위브아파트,2
장미아파트,2
남광로얄아파트,2
관교중학교(약수터),2
백운역,2
원흥아파트,2
가좌농협,2
인천의료원,2
극동.금호아파트,2
연안아파트,2
태화두진아파트,2
길병원,2
용일사거리,2
약대사거리,2
인천미래생활고등학교,2
신중동역6번출구.중흥중학교,2
숭의교회,1
독정이고개,1
숭의역(1번출구),1
한양아파트,1
미송초등학교,1
시민공원,1
굴다리입구,1
은영아파트,1
롯데슈퍼,1
인천소방본부,1
학익사거리,1
신동아아파트(B),1
현광아파트,1
용현3동행정복지센터.보훈병원,1
남동중학교,1
학익고등학교,1
송도재래시장,1
주안3동행정복지센터,1
현대3차아파트,1
인천교회,1
풍림아파트,1
송도라마다호텔앞,1
길병원사거리,1
금호어울림아파트,1
가정(루원시티)역,1
서화초등학교(도화e편한세상),1
숭의로터리,1
토지금고,1
금호2차아파트,1
대림아파트,1
한국아파트,1
인천향교유림회관,1
송림고개(도화신동아아파트),1
태평아파트.주안한신휴플러스아파트,1
성웅아파트,1
검암역(시내방면),1
학익사거리(동아풍림아파트),1
굴포천역(롯데마트),1
인천시청후문,1
구월2동행정복지센터,1
부평시장역,1
효성상아아파트,1
충정로역2호선,1
모래내시장역(3번출구),1
상동역1번출구.부천터미널소풍.홈플러스,1
부천시청역1번출구,1
대우푸르지오복합상가,1
신촌오거리.2호선신촌역,1
서교동,1
연안부두어시장,1
한라아파트,1
논현초등학교,1
벽산.이삭아파트,1
정병원,1
신촌오거리.현대백화점,1
숭의역(2번출구),1
학익시장(법원검찰청),1
옹진군청,1
제물포시장,1
미추홀구청,1
수봉마을쉼터,1
현대시장,1
용현초등학교입구,1
성원아파트,1
학익시장,1
토지금고시장앞,1
루에블리아파트,1
문학경기장(야구장),1
문학경기장(월드컵경기장),1
문학우체국,1
삼익.광명아파트,1
