정류장,count
주안역환승정류장,125
롯데백화점(인천터미널),103
신기.남부종합시장(진흥사거리),69
풍림아이원아파트,67
남중학교,49
동인천,39
송내역남부,36
인하대역(7번출구),34
동인천역,29
(구)시민회관사거리,24
호반써밋송도,23
인하대후문,20
신포시장,19
관교여자중학교,19
인천뷰티예술고등학교,16
용현시장,16
제물포역,16
동아풍림아파트,16
강남역서초현대타워앞,15
인하대역(1번출구),13
정석항공과학고,13
홍대입구역,13
주안역,13
인천논현중학교,12
송도유원지(도로교통공단),11
신동아아파트,11
장미아파트,10
용현중학교,10
원흥아파트,10
벽산아파트(미추홀도서관),10
남동구청,9
현대3차아파트,9
동춘2동행정복지센터,9
인하대병원,8
남인천여자중학교,7
신동아아파트3차,7
동막역(1번출구),6
유원아파트,6
학산소극장,6
수봉마을쉼터,6
토지금고시장,6
길병원,6
인천미래생활고등학교,6
복지회관,6
신중동역6번출구.중흥중학교,5
주안7동행정복지센터,5
약대사거리,5
용현3동행정복지센터.보훈병원,5
숭의2동행정복지센터,4
도화오거리,4
남동체육관(체조경기장),4
삼미시장,4
부천시청역3번출구.경기예고.현대백화점,4
인하대정문,4
나사렛국제병원앞,4
태화두진아파트,4
계룡리슈빌,4
풍림1차아파트,4
은지초등학교사거리,3
주안파크자이더플래티넘아파트,3
학익사거리(동아풍림아파트),3
학익고등학교,3
금호2차아파트,3
숭의역(2번출구),3
대림아파트,3
숭의초등학교,3
정병원,3
서창퍼스트뷰후문,2
문학정보고입구,2
금호타운,2
인하대역4번출구,2
신비마을아파트(112동),2
관교중학교(약수터),2
인천기계공고,2
송도재래시장,2
학익2동행정복지센터,2
연학초등학교,2
용일사거리,2
서울역,2
아현역,2
상동역1번출구.부천터미널소풍.홈플러스,2
학익시장(법원검찰청),2
송도파크레인동일하이빌,2
구월2동행정복지센터,2
부천시청역1번출구,2
현대시장,2
합정역,2
주안사거리,2
소래풍림아파트,2
풍림아파트,2
신창아파트,2
신동아3차아파트,2
서초아트자이아파트,2
대인고등학교,2
기점(미정차),1
양재역,1
하늘휴게소,1
학산사거리,1
토지금고시장앞,1
인천향교유림회관,1
굴다리입구,1
금호아파트,1
성지아파트,1
장천사거리,1
백운프라자,1
송도중학교,1
하나로쇼핑,1
송도컨벤시아,1
간석오거리(인천웨딩홀),1
문학초등학교,1
신비마을아파트,1
연안부두(신선초등학교),1
미추홀도서관.인천신월초등학교,1
청능로사거리,1
방촌공원,1
석바위,1
신촌오거리.2호선신촌역,1
인천시청후문,1
신촌오거리.현대백화점,1
송림4동행정복지센터,1
동산고,1
미송초등학교,1
숭의교회,1
서화초등학교(도화e편한세상),1
CJ인천2공장,1
간석오거리,1
대우푸르지오복합상가,1
쌍용아파트,1
대동아파트,1
옹진군청,1
남광로얄아파트,1
미추홀구청,1
용남시장,1
용정초등학교,1
두산위브아파트,1
학익시장,1
구월아시아드8단지,1
중구문화회관,1
서창센트럴푸르지오,1
인명여자고등학교,1
신선초등학교앞,1
삼환아파트,1
인천예림학교(인천성모병원),1
신흥교통입구,1
서초역,1
