정류장,count
주안역환승정류장,140
롯데백화점(인천터미널),96
신기.남부종합시장(진흥사거리),78
인하대역(7번출구),67
용현시장,39
인하대역(1번출구),26
동인천,26
송내역남부,25
신포시장,25
남중학교,23
동인천역,22
장미아파트,22
정석항공과학고,16
문학초등학교,16
원흥아파트,16
주안역,15
풍림아이원아파트,15
강남역서초현대타워앞,14
동아풍림아파트,13
숭의초등학교,13
제물포역,13
토지금고시장,12
계룡리슈빌,12
주안7동행정복지센터,12
인천대입구역,12
복지회관,11
길병원,11
(구)시민회관사거리,10
인하대후문,10
연학초등학교,10
인하대병원,10
수봉마을쉼터,9
부천시청역3번출구.경기예고.현대백화점,9
신비마을아파트,8
관교여자중학교,8
아시아드경기장(공촌사거리)역,8
나사렛국제병원앞,8
송도유원지(도로교통공단),8
관교중학교(약수터),7
태화두진아파트,7
인천향교유림회관,6
홍대입구역,6
신동아아파트3차,6
금호2차아파트,6
서초역,6
대우푸르지오복합상가,5
청능로사거리,5
학익고등학교,5
호반써밋송도,5
동산고,5
용현3동행정복지센터.보훈병원,5
서울역,4
신중동역6번출구.중흥중학교,4
대림아파트,4
금호타운,4
도림주공1단지,4
올리브백화점,4
작은구월사거리,4
모래내시장역(3번출구),3
토지금고시장앞,3
숭의초등학교입구,3
남동구청후문(남동등기소),3
신흥시장,3
현대아파트,3
남동구청,3
정병원,3
현대3차아파트,3
상동역1번출구.부천터미널소풍.홈플러스,3
석바위,3
인천미래생활고등학교,3
구월중학교,3
루원이편한세상하늘채(125동),3
독정이고개,3
송림4동행정복지센터,2
구월아시아드6단지,2
학익사거리(동아풍림아파트),2
미송초등학교,2
약대사거리,2
한양아파트,2
보건환경연구원,2
장미아파트(19동)앞,2
숭의2동행정복지센터,2
인하대정문,2
문학정보고입구,2
신성성결교회(올림피아병원),2
아주아파트.미추홀학교,2
제물포시장,2
만수주공4단지,2
숭의교회,2
두산위브아파트,2
주안사거리,2
구월2동행정복지센터,2
신창아파트,2
벽산이삭아파트,2
신동아아파트,2
합정역,2
성문아파트(문화연립),2
송도파크레인동일하이빌,2
하늘휴게소,2
대동아파트,2
한신아파트,2
석남신사거리,1
학익시장,1
도화오거리,1
인천재능대학교서문,1
서초아트자이아파트,1
풍림아파트,1
용현중학교,1
학익시장(법원검찰청),1
인천가정법원.인천지방법원등기국,1
옹진농협,1
학익사거리,1
인천정보과학고등학교,1
송도파크자이,1
남구평생학습센터,1
송도중학교,1
현대시장,1
동막역(3번출구),1
신동아3차아파트,1
송도재래시장,1
법원.검찰청,1
송도풍림아이원2단지,1
석바위시장역,1
삼영아파트,1
검암중학교,1
신동아아파트5차,1
신촌오거리.현대백화점,1
부평시장,1
CJ인천2공장,1
인천시청후문,1
삼환아파트,1
부평역,1
인수초등학교,1
현광아파트(호산부인과),1
방촌공원,1
신선초등학교앞,1
연안부두어시장,1
한라아파트,1
인천논현중학교,1
상동역8번출구세이브존,1
쌍용아파트,1
인명여자고등학교,1
서창119안전센터,1
서창퍼스트뷰후문,1
미추홀도서관.인천신월초등학교,1
석암초등학교앞,1
한국국토정보공사인천북부지사,1
인천향교.인천도호부청사,1
숭의로터리,1
남광로얄아파트,1
금호어울림아파트,1
용남시장,1
옹진군청,1
용현고개,1
미추홀구청,1
삼성빌라(종점),1
부천시청역1번출구,1
용정초등학교,1
용일사거리,1
신동아1.2차아파트,1
