정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대후문,37167,13,신흥교통 - 신흥교통,2023-08,일반인,0,0,29,9,30,37,38,37,47,229,77,134,38,174,75,99,102,107,109,135,120,92,144,69,195,103,141,122,153,146,102,123,100,75,113,51,94,48,79,40,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-08,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-08,청소년,0,0,0,0,0,0,0,1,1,10,0,3,0,7,2,9,6,19,1,32,7,23,7,1,7,7,14,25,22,10,14,15,13,4,8,6,7,0,2,4,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-08,경로,0,0,0,1,0,2,3,0,0,1,1,0,0,1,0,0,2,4,3,4,1,3,0,1,5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-08,장애인,0,0,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-08,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-08,일반인,0,0,13,34,24,59,60,79,51,292,37,249,43,247,69,245,64,230,103,295,135,189,131,195,195,277,142,223,159,331,128,282,132,272,91,215,108,184,55,124,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-08,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,3,7,2,5,3,15,7,13,2,7,1,7,2,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-08,청소년,0,0,0,0,0,0,1,2,1,29,1,17,1,22,0,16,9,16,4,15,26,18,24,23,36,54,32,57,61,20,22,26,34,12,27,14,12,4,9,4,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-08,경로,0,0,0,0,0,0,0,0,1,0,3,1,0,1,3,4,2,2,1,3,7,2,2,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
