정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대후문,37167,13,신흥교통 - 신흥교통,2023-02,일반인,0,0,41,23,33,21,33,15,50,159,36,109,34,125,41,77,59,76,75,92,62,73,145,63,140,100,82,81,98,101,114,88,105,65,100,51,128,38,65,36,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-02,어린이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,1,2,2,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-02,청소년,0,0,0,0,0,0,2,0,1,8,0,12,1,14,2,11,6,18,4,13,4,14,6,12,20,13,7,9,12,8,11,7,7,3,11,4,10,1,3,6,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-02,경로,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,3,2,5,0,2,2,0,3,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-02,장애인,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,일반인,0,0,16,12,26,41,62,39,61,257,35,195,30,246,59,188,40,202,60,239,69,167,91,204,113,168,103,266,97,289,67,230,113,184,95,148,84,111,69,53,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,2,8,0,9,8,4,4,12,2,2,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,청소년,0,0,0,0,0,0,0,1,0,7,1,14,3,30,7,20,6,34,11,36,20,25,14,26,32,25,25,34,26,17,28,12,20,8,15,10,13,4,6,2,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,경로,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,1,0,0,1,0,1,1,3,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
