정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대후문,37167,13,신흥교통 - 신흥교통,2023-03,일반인,0,0,43,31,45,24,13,21,50,396,41,341,52,590,60,187,108,129,122,225,155,123,213,103,240,127,160,105,215,172,150,78,150,57,129,63,180,43,128,42,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-03,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,2,0,5,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-03,청소년,0,0,0,0,0,0,0,0,1,65,1,56,2,115,0,35,4,27,7,28,15,16,16,15,42,28,24,39,33,15,28,11,13,3,20,3,12,2,7,3,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-03,경로,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,2,2,3,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-03,장애인,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,일반인,0,0,7,20,25,47,66,53,62,585,33,407,42,621,67,387,67,310,81,340,98,245,106,219,142,309,229,350,170,358,107,310,127,269,109,200,81,185,95,69,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,어린이,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,15,6,4,4,8,8,5,6,3,4,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,청소년,0,0,0,0,3,0,5,1,2,53,1,45,3,70,4,42,8,47,9,55,10,32,14,41,37,56,44,51,48,45,42,30,18,24,16,19,29,15,4,1,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,경로,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,3,1,1,1,7,0,2,0,2,1,5,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,일반인,0,0,28,121,130,473,267,1091,261,6576,209,7434,240,9528,211,6493,366,5405,330,5704,378,3762,458,2125,455,2224,554,2486,459,3041,390,2432,383,1738,325,1432,313,1343,200,1245,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,어린이,0,0,0,0,0,0,3,1,3,1,0,4,0,0,0,4,2,3,1,7,13,4,8,9,18,2,6,8,11,9,11,9,5,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,청소년,0,0,0,0,3,7,32,98,6,854,9,1127,6,1686,18,726,9,814,15,622,22,304,36,230,66,216,82,291,55,223,58,123,50,108,28,88,44,107,24,69,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,경로,0,0,0,8,0,16,1,10,6,6,1,34,3,17,2,29,6,35,5,34,2,31,7,14,5,16,1,7,0,10,1,7,0,6,0,7,0,1,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,장애인,0,0,0,0,0,25,2,2,5,3,1,6,3,4,1,1,2,16,1,6,0,4,2,2,1,4,1,3,0,6,0,10,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,국가유공자,0,0,0,0,0,7,0,0,0,0,0,2,0,3,0,1,0,1,1,1,0,1,0,2,2,6,1,3,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-03,일반인,0,0,5,0,2,10,34,44,36,155,17,97,36,81,41,55,67,57,87,61,86,59,119,39,182,47,92,35,114,38,54,53,81,38,63,11,49,7,2,3,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-03,어린이,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,4,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-03,청소년,0,0,0,0,0,0,5,1,0,1,0,1,2,5,6,3,12,3,7,1,6,12,16,11,21,2,15,14,15,5,10,1,6,0,19,4,7,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-03,경로,0,0,0,0,0,0,0,0,1,6,4,2,0,0,3,2,1,1,3,1,2,2,8,1,2,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-03,장애인,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
