정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대후문,37166,1601,인하대후문 - 인하대정문,2023-10,일반인,34,0,4,0,0,0,2,0,5,0,4,0,9,0,9,0,16,1,25,1,21,0,55,0,52,0,90,0,62,0,40,0,30,0,31,0,51,0,88,0,0,1,0,0,0,0,0,0,
인하대후문,37166,1601,인하대후문 - 인하대정문,2023-10,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,1601,인하대후문 - 인하대정문,2023-10,청소년,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,1601,인하대후문 - 인하대정문,2023-10,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,27,항동7가버스차고지 - 항동7가버스차고지,2023-10,일반인,0,0,0,2,0,9,2,19,2,55,1,41,7,69,8,73,46,85,55,73,16,53,39,65,65,67,44,87,38,114,16,98,11,82,8,44,12,31,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,27,항동7가버스차고지 - 항동7가버스차고지,2023-10,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,5,0,3,0,8,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,27,항동7가버스차고지 - 항동7가버스차고지,2023-10,청소년,0,0,0,0,0,0,0,0,0,12,0,1,0,5,0,2,3,3,5,14,1,8,1,7,3,27,3,7,4,4,1,13,1,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,27,항동7가버스차고지 - 항동7가버스차고지,2023-10,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,27,항동7가버스차고지 - 항동7가버스차고지,2023-10,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37166,27,항동7가버스차고지 - 항동7가버스차고지,2023-10,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
