월,정류장,count
202301.0,수봉공원,1
202301.0,숭덕여중고입구,1
202301.0,숭의역(2번출구),1
202301.0,시민공원,1
202301.0,신선초등학교앞,1
202301.0,신일교회,1
202301.0,신천동,1
202301.0,신촌오거리.현대백화점,1
202301.0,심곡극동아파트,1
202301.0,쌍용아파트,1
202301.0,아주아파트.미추홀학교,1
202301.0,아현역,1
202301.0,양곡도매시장,1
202301.0,연안부두어시장,1
202301.0,연안아파트,1
202301.0,영남아파트,1
202301.0,옹진농협,1
202301.0,용남파출소,1
202301.0,용일초등학교,1
202301.0,용현중학교,1
202301.0,운연동,1
202301.0,운연역,1
202301.0,월곶동주민센터.월곶포구,1
202301.0,월드메르디앙아파트,1
202301.0,은봉초등학교,1
202301.0,은지초등학교사거리,1
202301.0,이대역,1
202301.0,인천가정법원.인천지방법원등기국,1
202301.0,인천교통공사,1
202301.0,인천논현중학교,1
202301.0,인천대공원,1
202301.0,인천시청후문,1
202301.0,인천용학초등학교,1
202301.0,인천의료원,1
202301.0,작은구월사거리,1
202301.0,장천사거리,1
202301.0,정광아파트(병무청),1
202301.0,정광아파트.만수주공11단지,1
202301.0,정다운그린빌,1
202301.0,정병원,1
202301.0,정부인천지방합동청사,1
202301.0,제물포역(동양빌딩),1
202301.0,충정로역2호선,1
202301.0,태화.두진아파트,1
202301.0,풍림3차아파트,1
202301.0,학익2동행정복지센터,1
202301.0,학익동성당앞,1
202301.0,학익사거리,1
202301.0,학익여자고등학교,1
202301.0,한국전력,1
202301.0,한라아파트,1
202301.0,한진아파트,1
202301.0,현광아파트(호산부인과),1
202301.0,현대4차아파트,1
202301.0,현대5차아파트,1
202301.0,효성상아아파트,1
202301.0,힐캐슬프라자,1
202302.0,주안역환승정류장,206
202302.0,롯데백화점(인천터미널),143
202302.0,인하대역(7번출구),108
202302.0,남중학교,64
202302.0,동인천,60
202302.0,신기.남부종합시장(진흥사거리),57
202302.0,주안역,55
202302.0,(구)시민회관사거리,47
202302.0,송내역남부,46
202302.0,인하대역(1번출구),44
202302.0,동인천역,39
202302.0,토지금고시장,35
202302.0,원흥아파트,29
202302.0,강남역서초현대타워앞,27
202302.0,용현시장,27
202302.0,제물포역,22
202302.0,홍대입구역,22
202302.0,문학초등학교,18
202302.0,약대사거리,18
202302.0,수봉마을쉼터,17
202302.0,주안7동행정복지센터,17
202302.0,풍림아이원아파트,17
202302.0,두산위브아파트,16
202302.0,신동아아파트3차,16
202302.0,인천향교유림회관,16
202302.0,인하대후문,15
202302.0,벽산이삭아파트,13
202302.0,송도유원지(도로교통공단),13
202302.0,용현고개,12
202302.0,나사렛국제병원앞,11
202302.0,인명여자고등학교,11
202302.0,계룡리슈빌,10
202302.0,부천시청역3번출구.경기예고.현대백화점,10
202302.0,연학초등학교,9
202302.0,용일사거리,9
202302.0,청능로사거리,9
202302.0,금호2차아파트,8
202302.0,대림아파트,8
202302.0,동막역(1번출구),8
202302.0,신포시장,8
202302.0,인하대병원,8
202302.0,주안사거리,8
202302.0,현대3차아파트,8
202302.0,기점(미정차),7
202302.0,남광로얄아파트,7
202302.0,서창센트럴푸르지오,7
202302.0,숭의로터리,7
202302.0,용현초등학교입구,7
202302.0,유원아파트,7
202302.0,인천미래생활고등학교,7
202302.0,중구문화회관,7
202302.0,학산소극장,7
202302.0,도림주공1단지,6
202302.0,부평역,6
202302.0,신동아아파트,6
202302.0,신비마을아파트,6
202302.0,태화두진아파트,6
202302.0,학익사거리(동아풍림아파트),6
202302.0,학익시장(법원검찰청),6
202302.0,학익시장앞,6
202302.0,한국아파트,6
202302.0,합정역,6
202302.0,e편한세상정문,5
202302.0,검암역(시내방면),5
202302.0,남동구청,5
202302.0,남동구청후문(남동등기소),5
202302.0,미송초등학교,5
202302.0,백운역,5
202302.0,삼영아파트,5
202302.0,선바위역,5
202302.0,송도풍림아이원2단지,5
202302.0,숭의2동행정복지센터,5
202302.0,시민의숲.양재꽃시장,5
202302.0,신동아3차아파트,5
202302.0,용현3동행정복지센터.보훈병원,5
202302.0,인천대입구역,5
202302.0,인하대역4번출구,5
202302.0,장미아파트,5
202302.0,토지금고시장앞,5
202302.0,호반써밋송도,5
202302.0,가정(루원시티)역,4
202302.0,관교중학교(약수터),4
202302.0,구월아시아드6단지,4
202302.0,대동아파트,4
202302.0,도화오거리,4
202302.0,동막역(3번출구),4
202302.0,동아풍림아파트,4
202302.0,라이프아파트,4
202302.0,백산아파트,4
202302.0,상동역1번출구.부천터미널소풍.홈플러스,4
202302.0,서울역,4
202302.0,송도재래시장,4
202302.0,송도파크레인동일하이빌,4
202302.0,송도파크자이,4
202302.0,신창아파트,4
202302.0,쌍용아파트,4
202302.0,양재역,4
202302.0,옹진군청,4
202302.0,인수초등학교,4
202302.0,인천기계공고,4
202302.0,인하대정문,4
202302.0,정석항공과학고,4
202302.0,주안3동행정복지센터,4
202302.0,학산사거리,4
202302.0,학익고등학교,4
202302.0,학익동성당앞,4
202302.0,금호아파트,3
202302.0,길병원,3
202302.0,남동경찰서.남촌농산물도매시장,3
202302.0,동춘동종점,3
202302.0,로얄아파트,3
202302.0,만수주공4단지,3
202302.0,법원.검찰청,3
202302.0,부천시청역1번출구,3
202302.0,석암초등학교앞,3
202302.0,시민공원,3
202302.0,신동아아파트5차,3
202302.0,신성성결교회(올림피아병원),3
202302.0,아시아드경기장(공촌사거리)역,3
202302.0,용현중학교,3
202302.0,윤성아파트(인항고교),3
202302.0,인천소방본부,3
202302.0,인천의료원,3
202302.0,인천향교.인천도호부청사,3
202302.0,작은구월사거리,3
202302.0,정병원,3
202302.0,풍림1차아파트,3
202302.0,풍림3차아파트,3
202302.0,학익2동행정복지센터,3
202302.0,현광아파트후문,3
202302.0,CJ인천2공장,2
202302.0,SK스카이뷰104동,2
202302.0,SK주유소앞,2
202302.0,간석오거리(인천웨딩홀),2
202302.0,관교여자중학교,2
202302.0,구월도매시장,2
202302.0,굴다리오거리,2
202302.0,굴다리입구,2
202302.0,남동세무서,2
202302.0,남동초등학교,2
202302.0,남인천세무서,2
202302.0,독배로317번길(삼거리),2
202302.0,무지개아파트(동남아파트),2
202302.0,미추홀구청,2
202302.0,배다리,2
202302.0,벽산아파트(미추홀도서관),2
202302.0,부원중학교,2
202302.0,삼미시장,2
202302.0,삼환아파트,2
202302.0,서초역,2
202302.0,성문아파트(문화연립),2
202302.0,송림고개(도화신동아아파트),2
202302.0,숭의교회,2
202302.0,숭의역(1번출구),2
202302.0,숭의초등학교,2
202302.0,신동아아파트(B),2
202302.0,신선초등학교,2
202302.0,신중동역6번출구.중흥중학교,2
202302.0,아주아파트.미추홀학교,2
202302.0,용정초등학교,2
202302.0,월드메르디앙아파트,2
202302.0,은봉초등학교,2
202302.0,은지초등학교사거리,2
202302.0,인천논현중학교,2
202302.0,인천시청후문,2
202302.0,장천사거리,2
202302.0,재흥시장,2
202302.0,정광아파트(병무청),2
202302.0,진흥아파트,2
202302.0,하나아파트,2
202302.0,학익사거리,2
202302.0,한양아파트,2
202302.0,항운아파트,2
202302.0,현대시장,2
202302.0,현대아파트,2
202302.0,힘찬병원,2
202302.0,SK스카이뷰109동,1
202302.0,간석사거리,1
202302.0,건설기술교육원,1
202302.0,교통방송사거리,1
202302.0,구월아시아드은빛호수공원,1
202302.0,굴다리,1
202302.0,길병원사거리,1
202302.0,남구평생학습센터,1
202302.0,남동중학교,1
202302.0,남인천여자중학교,1
202302.0,노인복지회관,1
202302.0,논현사거리,1
202302.0,도림아이파크아파트,1
202302.0,도림주공208동,1
202302.0,도화동신협(구박문여고),1
202302.0,랜드마크시티센트럴더샵(106동),1
202302.0,롯데슈퍼,1
202302.0,루원시티사거리,1
202302.0,루원이편한세상하늘채(125동),1
202302.0,모래내시장역(3번출구),1
202302.0,문학경기장(야구장),1
202302.0,문학경로당,1
202302.0,문학고개,1
202302.0,문학우체국,1
202302.0,문학정보고입구,1
202302.0,미추홀공원,1
202302.0,미추홀구청입구,1
202302.0,백마장입구,1
202302.0,법원,1
202302.0,벽산.이삭아파트,1
202302.0,복지회관,1
202302.0,부평구청,1
202302.0,부평구청·부평세무서,1
202302.0,부평시장,1
202302.0,삼익.광명아파트,1
202302.0,새안의원,1
202302.0,서교동,1
202302.0,서창이편한세상1002동,1
202302.0,석건연립,1
202302.0,석남신사거리,1
202302.0,석락아파트,1
202302.0,석바위,1
202302.0,석암초등학교,1
202302.0,선유고등학교,1
202302.0,성웅아파트,1
202302.0,성원아파트,1
202302.0,소래풍림아파트,1
