이용자유형,정류장,count
경로,학익2동행정복지센터,1
경로,효성상아아파트,1
경로,힐스테이트학익104동앞,1
국가유공자,주안역환승정류장,290
국가유공자,신기.남부종합시장(진흥사거리),123
국가유공자,인하대역(1번출구),112
국가유공자,남중학교,108
국가유공자,주안역,106
국가유공자,동인천,99
국가유공자,인하대역(7번출구),99
국가유공자,용현시장,89
국가유공자,동막역(1번출구),85
국가유공자,(구)시민회관사거리,61
국가유공자,원흥아파트,59
국가유공자,용일사거리,52
국가유공자,쌍용아파트,45
국가유공자,복지회관,44
국가유공자,풍림아이원아파트,43
국가유공자,금호2차아파트,42
국가유공자,용현고개,42
국가유공자,신중동역6번출구.중흥중학교,40
국가유공자,신창아파트,39
국가유공자,기점(미정차),37
국가유공자,대동아파트,37
국가유공자,동인천역,37
국가유공자,롯데백화점(인천터미널),37
국가유공자,석바위,37
국가유공자,송도유원지(도로교통공단),36
국가유공자,용현3동행정복지센터.보훈병원,36
국가유공자,제물포역,36
국가유공자,송도파크레인동일하이빌,35
국가유공자,법원.검찰청,33
국가유공자,인하대역4번출구,32
국가유공자,토지금고시장,32
국가유공자,대림아파트,31
국가유공자,서창퍼스트뷰후문,31
국가유공자,학익시장앞,30
국가유공자,백운역,29
국가유공자,인수초등학교,29
국가유공자,금호타운,28
국가유공자,서창센트럴푸르지오,28
국가유공자,숭의로터리,27
국가유공자,용정초등학교,27
국가유공자,벽산아파트(미추홀도서관),26
국가유공자,송내역남부,26
국가유공자,남동구청후문(남동등기소),25
국가유공자,장미아파트,25
국가유공자,청능로사거리,25
국가유공자,도화오거리,23
국가유공자,서울역,23
국가유공자,인천시청후문,23
국가유공자,두산위브아파트,22
국가유공자,신동아아파트8차,22
국가유공자,학익고등학교,22
국가유공자,남동구청,21
국가유공자,부천시청역3번출구.경기예고.현대백화점,21
국가유공자,용현초등학교입구,21
국가유공자,윤성아파트(인항고교),21
국가유공자,호반써밋송도,21
국가유공자,구월2동행정복지센터,20
국가유공자,남동경찰서.남촌농산물도매시장,19
국가유공자,약대사거리,19
국가유공자,양재역,19
국가유공자,인명여자고등학교,19
국가유공자,인천소방본부,19
국가유공자,인하대후문,19
국가유공자,중구문화회관,19
국가유공자,교대역,18
국가유공자,길병원사거리,18
국가유공자,신동아아파트(B),18
국가유공자,은봉초등학교,18
국가유공자,인천향교유림회관,18
국가유공자,정병원,18
국가유공자,효성상아아파트,18
국가유공자,태화두진아파트,17
국가유공자,연학초등학교,16
국가유공자,SK스카이뷰104동,15
국가유공자,주안7동행정복지센터,15
국가유공자,토지금고시장앞,15
국가유공자,남광로얄아파트,14
국가유공자,신동아아파트,14
국가유공자,신동아아파트3차,14
국가유공자,관교중학교(약수터),13
국가유공자,인하대병원,13
국가유공자,학산사거리,13
국가유공자,남동초등학교,12
국가유공자,백산아파트,12
국가유공자,서화초등학교(도화e편한세상),12
국가유공자,학익시장(법원검찰청),12
국가유공자,강남역서초현대타워앞,11
국가유공자,라이프아파트,11
국가유공자,한국아파트,11
국가유공자,문학초등학교,10
국가유공자,삼익.광명아파트,10
국가유공자,수봉공원,10
국가유공자,인천정보과학고등학교,10
국가유공자,금호아파트,9
국가유공자,무지개아파트(동남아파트),9
국가유공자,문학고개,9
국가유공자,신포시장,9
국가유공자,유원아파트,9
국가유공자,학익2동행정복지센터,9
국가유공자,학익사거리(동아풍림아파트),9
국가유공자,현대3차아파트,9
국가유공자,교보생명,8
국가유공자,굴다리오거리,8
국가유공자,루원이편한세상하늘채(125동),8
국가유공자,모래내시장역(3번출구),8
국가유공자,백운프라자,8
국가유공자,신동아아파트5차,8
국가유공자,아시아드경기장(공촌사거리)역,8
국가유공자,용현고가교,8
국가유공자,작은구월사거리,8
국가유공자,항운아파트,8
국가유공자,길병원,7
국가유공자,로얄아파트,7
국가유공자,송도파크자이,7
국가유공자,영남아파트,7
국가유공자,인하대정문,7
국가유공자,문학경기장(야구장),6
국가유공자,미송초등학교,6
국가유공자,법원검찰청입구,6
국가유공자,삼영아파트,6
국가유공자,옹진군청,6
국가유공자,정석항공과학고,6
국가유공자,현광아파트,6
국가유공자,구월아시아드은빛호수공원,5
국가유공자,남구평생학습센터,5
국가유공자,동아풍림아파트,5
국가유공자,미추홀구청,5
국가유공자,미추홀구청입구,5
국가유공자,보건환경연구원,5
국가유공자,숭의역(2번출구),5
국가유공자,숭의초등학교,5
국가유공자,신동아3차아파트,5
국가유공자,신비마을아파트(112동),5
국가유공자,신천동,5
국가유공자,은행초등학교,5
국가유공자,인천대공원,5
국가유공자,정광아파트(병무청),5
국가유공자,학익사거리,5
국가유공자,학익시장,5
국가유공자,한양아파트,5
국가유공자,검암역(시내방면),4
국가유공자,독정이고개,4
국가유공자,배다리,4
국가유공자,부평구청,4
국가유공자,서초역,4
국가유공자,성원아파트,4
국가유공자,송도재래시장,4
국가유공자,송도풍림아이원2단지,4
국가유공자,숭의역(1번출구),4
국가유공자,아주아파트.미추홀학교,4
국가유공자,인천항신국제여객터미널,4
국가유공자,주안3동행정복지센터,4
국가유공자,중구노인복지회관,4
국가유공자,풍림1차아파트,4
국가유공자,풍림3차아파트,4
국가유공자,풍림아파트,4
국가유공자,하늘휴게소,4
국가유공자,현대아파트,4
국가유공자,힐스테이트푸르지오주안,4
국가유공자,가좌농협,3
국가유공자,구월도매시장,3
국가유공자,굴다리,3
국가유공자,굴다리입구,3
국가유공자,굴포천역(부평농협),3
국가유공자,금호어울림아파트,3
국가유공자,도림주공1단지,3
국가유공자,독배로317번길(삼거리),3
국가유공자,만수주공4단지,3
국가유공자,벽산이삭아파트,3
국가유공자,부평구청·부평세무서,3
국가유공자,삼환아파트,3
국가유공자,서창119안전센터,3
국가유공자,서해그랑블아파트후문,3
국가유공자,석천사거리역,3
국가유공자,송도라마다호텔앞,3
국가유공자,송도중학교,3
국가유공자,송림고개(도화신동아아파트),3
국가유공자,신선초등학교앞,3
국가유공자,양곡도매시장,3
국가유공자,용현중학교,3
국가유공자,인천기계공고,3
국가유공자,인천의료원,3
국가유공자,인천향교.인천도호부청사,3
국가유공자,주안파크자이더플래티넘아파트,3
국가유공자,학익동성당앞,3
국가유공자,현대4차아파트,3
국가유공자,2001아울렛,2
국가유공자,e편한세상정문,2
국가유공자,간석오거리,2
국가유공자,경남아너스빌,2
국가유공자,구월도매전통시장,2
국가유공자,나사렛국제병원앞,2
국가유공자,남동중학교,2
국가유공자,남인천여자중학교,2
국가유공자,논현11단지단풍마을A정문,2
국가유공자,논현초등학교,2
국가유공자,도림주공2단지,2
국가유공자,동막역(3번출구),2
국가유공자,미추홀도서관.인천신월초등학교,2
국가유공자,서교동,2
국가유공자,석락아파트,2
국가유공자,성문아파트(문화연립),2
국가유공자,송도풍림아이원4단지,2
국가유공자,숭의교회,2
국가유공자,숭의초등학교입구,2
국가유공자,시민공원,2
국가유공자,시민의숲.양재꽃시장,2
국가유공자,신라아파트,2
국가유공자,신명아파트.대우3차아파트,2
국가유공자,신비마을아파트,2
국가유공자,신천연합병원,2
국가유공자,신촌오거리.현대백화점,2
국가유공자,엑슬루타워,2
국가유공자,올리브백화점,2
국가유공자,옹진농협,2
국가유공자,정부인천지방합동청사,2
국가유공자,제운사거리(청년창업특화거리),2
국가유공자,주안2동치안센터,2
국가유공자,태평아파트.주안한신휴플러스아파트,2
국가유공자,하나로쇼핑,2
국가유공자,현광아파트후문,2
