노선,기종점,월,정류장순번,정류장,이용자유형,합계,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,00,04,01,02,03
111-2,동춘동차고지 - 동춘동차고지,202307.0,2.0,무지개아파트(동남아파트),어린이,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202308.0,53.0,부평구청역,어린이,8,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202309.0,2.0,무지개아파트(동남아파트),어린이,6,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202310.0,1.0,동춘동종점,어린이,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202311.0,1.0,동춘동종점,어린이,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202312.0,2.0,무지개아파트(동남아파트),어린이,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202301.0,119.0,인천교통공사,일반인,2209,256,148,126,207,161,118,71,100,141,103,132,92,79,197,87,73,77,41,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202302.0,119.0,인천교통공사,일반인,2178,284,110,83,230,145,117,92,100,116,98,111,116,133,188,95,55,60,45,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202303.0,119.0,인천교통공사,일반인,2493,304,96,184,287,147,161,101,116,123,108,140,101,145,207,98,86,59,30,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202304.0,119.0,인천교통공사,일반인,2452,275,69,211,243,176,169,105,103,132,116,106,128,126,193,117,88,49,46,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202305.0,119.0,인천교통공사,일반인,2558,295,54,230,282,183,151,108,118,157,119,105,134,135,209,82,82,67,47,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202306.0,119.0,인천교통공사,일반인,2393,275,83,198,203,145,141,95,114,154,118,118,105,152,196,76,92,83,45,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202307.0,119.0,인천교통공사,일반인,2273,237,97,169,258,156,121,90,113,147,89,76,100,112,201,79,104,71,53,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202308.0,119.0,인천교통공사,일반인,2251,238,100,176,221,178,139,90,117,121,115,74,82,115,206,108,73,62,36,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202309.0,119.0,인천교통공사,일반인,2215,232,100,148,198,171,122,88,148,131,95,77,96,143,177,99,78,69,43,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202310.0,119.0,인천교통공사,일반인,2169,184,89,119,176,177,135,113,122,141,94,109,115,143,176,103,86,53,34,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202311.0,119.0,인천교통공사,일반인,2114,187,93,131,168,196,124,137,134,123,103,90,118,129,133,69,79,59,41,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202312.0,115.0,백운역,일반인,4294,179,184,353,446,372,253,250,307,295,257,208,181,261,273,127,140,125,83,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202301.0,61.0,부평구청,장애인,30,24,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202302.0,61.0,부평구청,장애인,28,23,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202303.0,61.0,부평구청,장애인,35,25,0,0,2,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202304.0,61.0,부평구청,장애인,35,25,0,4,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,,,,,
