노선,정류장,count
27,쌍용아파트,10
27,논현14단지등대마을,9
27,논현14단지등대마을휴먼시아아파트,9
27,성문아파트(문화연립),9
27,옹진군청,9
27,한라아파트,9
27,논현사거리,8
27,벽산아파트(미추홀도서관),8
27,삼영아파트,8
27,작은구월사거리,8
27,신선초등학교앞,7
27,도림주공208동,6
27,순복음교회,6
27,인하대후문,6
27,구월아시아드6단지,5
27,남동체육관(체조경기장),5
27,미추홀도서관.인천신월초등학교,5
27,구월도매시장,4
27,구월도매전통시장,4
27,구월아시아드은빛호수공원,4
27,도림주공2단지,4
27,연안아파트,4
27,연흥아파트,4
27,윤성아파트(인항고교),4
27,주안3동행정복지센터,4
27,한신아파트,4
27,항동7가버스차고지,4
27,남동세무서,3
27,논현11단지단풍마을A정문,3
27,논현12단지산뒤마을,3
27,소래포구입구,3
27,소래풍림아파트,3
27,신라아파트,3
27,연안부두어시장,3
27,진흥아파트,3
27,SKLPG충전사업소,2
27,논현9단지냇마을신영지웰A정문,2
27,논현초등학교,2
27,마린월드,2
27,방죽삼거리,2
27,신선초등학교,2
27,용남파출소,2
27,월곶동주민센터.월곶포구,2
27,금호아파트,1
27,논고개길,1
27,논현10단지별빛마을웰카운티A정문,1
27,삼환아파트,1
27,연안부두(신선초등학교),1
27,용현고가교,1
27,풍림아파트,1
27,한국아파트,1
46,롯데백화점(인천터미널),255
46,인하대역(7번출구),141
46,벽산이삭아파트,128
46,풍림아이원아파트,103
46,부평역,67
46,대동아파트,60
46,인하대역(1번출구),57
46,인명여자고등학교,36
46,중구문화회관,36
46,인수초등학교,33
46,인천향교유림회관,33
46,금호2차아파트,30
46,벽산아파트(미추홀도서관),27
46,학익고등학교,25
46,CJ인천2공장,23
46,구월아시아드6단지,23
46,굴다리오거리,22
46,인천향교.인천도호부청사,21
46,효성상아아파트,20
46,남동구청후문(남동등기소),19
46,두산위브아파트,19
46,인천예림학교(인천성모병원),17
46,신선초등학교앞,16
46,문학초등학교,15
46,금호타운,13
46,벽산.이삭아파트,13
46,구월아시아드은빛호수공원,12
46,삼환아파트,11
46,태화.두진아파트,11
46,신선초등학교,10
46,항운아파트,10
46,모래내시장역(3번출구),9
46,하나아파트,9
46,신동아3차아파트,8
46,동아풍림아파트,7
46,부평시장,7
46,신창아파트,7
46,힐스테이트학익104동앞,6
46,문학경기장(야구장),5
46,풍림아파트,5
46,홍익자원,5
46,건설기술교육원,4
46,남인천세무서,4
46,신동아아파트,4
46,장미아파트(19동)앞,4
46,태화두진아파트,4
46,간석사거리,3
46,남동세무서,3
46,두산아파트,3
46,문학경기장(월드컵경기장),3
46,백마장입구,3
46,성문아파트(문화연립),3
46,신성성결교회(올림피아병원),3
46,옹진군청,3
46,작은구월사거리,3
46,장미아파트,3
46,한국아파트,3
46,굴포천역(롯데마트),2
46,모래내시장역(2번출구),2
46,부평구청,2
46,굴포천역(부평농협),1
46,부평시장역,1
46,신흥교통입구,1
46,연안부두(신선초등학교),1
46,윤성아파트(인항고교),1
46,현광아파트,1
46,현광아파트(호산부인과),1
5,롯데백화점(인천터미널),490
5,인명여자고등학교,86
5,인하대역(1번출구),77
5,인하대역(7번출구),70
5,풍림아이원아파트,61
5,서창센트럴푸르지오,53
5,서창퍼스트뷰후문,40
5,문학경로당,37
5,인천향교유림회관,36
5,삼미시장,29
5,대동아파트,23
5,남동경찰서.남촌농산물도매시장,21
5,문학정보고입구,21
5,문학우체국,20
5,신천동,19
5,학익고등학교,19
5,인하대병원,18
5,구월아시아드6단지,17
5,영남아파트,17
5,신명아파트.대우3차아파트,16
5,운연역,16
5,남동세무서,15
5,도림아이파크아파트,15
5,유원아파트,14
5,신창아파트,13
5,동아풍림아파트,12
5,구월아시아드8단지,11
5,대림아파트,11
5,문학경기장(야구장),11
5,서창119안전센터,11
5,문학고개,10
5,신일교회,10
5,풍림아파트,10
5,남촌풍림2차아파트,9
5,백운프라자,8
5,남촌풍림3차아파트,7
5,옹진군청,7
5,장미아파트,7
5,두산위브아파트,6
5,서창이편한세상1002동,6
5,성원아파트,6
5,센타빌딩,6
5,신천역.문화의거리,6
5,용현초등학교입구,5
5,은행초등학교,5
5,금호2차아파트,4
5,엑슬루타워,4
5,서해그랑블아파트후문,3
5,신천연합병원,3
5,운연동,3
