정류장,count
숭의초등학교입구,5
인천교회,5
랜드마크시티센트럴더샵(106동),5
문학경기장(월드컵경기장),5
보건환경연구원,5
검암중학교,5
은행초등학교,5
정광아파트.만수주공11단지,5
남동체육관(체조경기장),5
루원시티사거리,5
미추홀도서관.인천신월초등학교,5
래미안아파트파이낸셜뉴스,5
태평아파트.주안한신휴플러스아파트,5
연희동행정복지센터,4
방촌공원,4
연합의원,4
남인천세무서,4
연흥아파트,4
백마장입구,4
숭덕여중고입구,4
구월도매전통시장,4
동원아파트,4
도림주공2단지,4
십정2동행정복지센터,4
도화동신협(구박문여고),4
송림고개(도화신동아아파트),4
항동7가버스차고지,4
한신아파트,4
동교동삼거리,4
한진아파트,4
노인복지회관,4
두산아파트,4
구월중학교,4
굴다리,4
구월도매시장,4
석천사거리역,4
건설기술교육원,4
인하대병원입구,4
중구노인복지회관,4
인천지방법원,4
가현중학교,4
양곡도매시장,4
연안아파트,4
신중동역4번출구.롯데백화점,4
부평구청·부평세무서,4
논현11단지단풍마을A정문,3
인천재능대학교서문,3
신천연합병원,3
2001아울렛,3
소래포구입구,3
연안부두어시장,3
남인천농협백운지점,3
옥골사거리,3
송도컨벤시아,3
은영아파트,3
운연동,3
간석사거리,3
교통방송사거리,3
주안1동행정복지센터,3
옹진농협,3
경남아너스빌,3
논현12단지산뒤마을,3
굴포천역(부평농협),3
정다운그린빌,3
동양화학,3
국민건강보험남부지사,3
태평아파트,3
서해그랑블아파트후문,3
신라아파트,3
소래풍림아파트,3
송도풍림아이원4단지,2
미추홀공원,2
월곶동주민센터.월곶포구,2
모래내시장역(2번출구),2
논현초등학교,2
송도고입구,2
SK스카이뷰109동,2
종점(병무청),2
경남아파트,2
SKLPG충전사업소,2
부평역(북인천우체국),2
간석오거리,2
신촌오거리.2호선신촌역,2
임광그대가103동,2
연안부두(신선초등학교),2
아암물류단지,2
우림필유아파트,2
마린월드,2
한국전력,2
경남아너스빌아파트,2
송도파크자이아파트,2
방죽삼거리,2
신중동역5번출구.중흥중학교,2
석바위시장역,2
논현9단지냇마을신영지웰A정문,2
굴포천역(롯데마트),2
인천대정문,2
서초힐스아파트,2
석건연립,2
모래내시장역(1번출구),2
청운대삼거리(하늘꿈교회),2
인천가톨릭대,2
성웅아파트,1
가좌홈플러스(쌍마아파트),1
부평시장역,1
신송고등학교,1
신흥교통,1
부평구청역,1
동춘마을아파트,1
