정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-06,일반인,0,0,23,14,12,36,25,72,58,126,55,111,81,104,120,83,127,69,148,97,174,68,324,70,314,77,331,93,225,92,123,89,115,48,149,49,159,104,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-06,청소년,0,0,3,0,0,0,0,44,3,30,1,18,5,11,10,7,12,14,15,16,21,8,33,9,29,6,32,12,16,8,14,5,21,2,17,5,16,2,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,2,1,0,4,2,2,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-06,장애인,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-06,일반인,7,0,10,2,6,2,18,17,17,34,23,26,27,19,54,17,96,40,76,22,135,26,131,20,167,30,146,21,150,50,87,19,101,23,72,10,55,21,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-06,청소년,0,0,1,0,0,0,0,6,0,5,1,0,3,0,3,1,7,3,2,4,11,2,41,4,45,3,14,3,23,2,20,0,22,1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,일반인,0,0,2,1,6,2,20,2,16,21,23,17,24,8,34,12,40,11,67,19,63,15,111,10,98,22,138,21,73,28,59,14,50,8,49,7,60,4,25,5,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,4,0,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,청소년,0,0,0,0,0,0,2,0,1,5,0,2,3,0,5,1,6,1,8,4,6,1,23,1,16,0,21,1,21,3,13,1,8,2,14,1,8,1,1,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,경로,0,0,0,0,1,0,1,0,0,0,1,1,2,3,1,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,일반인,0,0,0,1,3,2,3,11,7,30,3,8,17,8,17,3,21,19,31,11,34,6,42,9,59,10,43,14,46,22,27,13,27,9,28,1,13,10,10,2,0,0,0,0,0,0,0,0,
인하대정문,37099,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,청소년,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,1,1,2,3,2,11,0,7,2,13,0,11,0,9,1,7,0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,516,현광아파트후문 - 현광아파트후문앞,2023-06,일반인,0,0,17,4,6,20,2,3,15,8,25,12,20,24,34,22,30,7,44,15,52,33,46,20,42,17,35,6,41,11,17,4,26,5,32,4,51,7,39,10,25,4,0,0,0,0,0,0,
인하대정문,37099,516,현광아파트후문 - 현광아파트후문앞,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,3,0,8,3,2,0,0,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,516,현광아파트후문 - 현광아파트후문앞,2023-06,청소년,0,0,0,0,0,0,10,0,21,0,2,0,0,1,6,3,1,0,3,3,7,0,15,4,22,4,17,4,10,3,5,0,11,2,10,0,9,1,5,0,5,0,0,0,0,0,0,0,
인하대정문,37099,516,현광아파트후문 - 현광아파트후문앞,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,516,현광아파트후문 - 현광아파트후문앞,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
