정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-04,일반인,0,0,22,20,65,33,146,47,335,191,237,131,221,129,282,79,277,102,254,119,284,89,474,120,508,135,427,171,337,207,178,158,104,66,115,94,106,102,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-04,어린이,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,3,1,6,1,4,1,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-04,청소년,0,0,3,0,2,1,3,55,7,151,7,21,39,23,36,8,38,18,40,25,64,3,109,27,103,34,100,32,72,16,35,14,23,5,16,24,32,16,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-04,경로,0,0,0,0,1,1,1,0,0,0,8,1,9,5,8,1,4,2,0,2,6,4,0,4,2,2,1,4,2,4,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-04,장애인,0,0,0,0,0,0,4,0,0,2,0,0,1,0,1,0,1,2,0,2,4,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-04,일반인,0,0,62,25,17,0,75,3,136,21,78,8,81,13,71,4,86,6,90,10,71,6,78,8,142,18,144,12,138,9,63,12,36,4,24,2,32,10,50,1,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-04,어린이,0,0,0,0,0,0,25,0,3,0,0,0,2,0,1,0,0,0,2,0,0,0,32,4,22,0,7,0,6,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-04,청소년,0,0,1,0,0,0,48,0,56,0,4,0,15,3,5,1,10,0,20,0,16,2,27,1,35,1,65,3,24,2,17,1,37,2,10,0,19,1,12,0,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-04,경로,0,0,0,0,0,0,1,1,0,0,2,0,2,0,4,2,3,0,1,0,3,0,3,0,5,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
