정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-08,일반인,0,0,16,9,73,36,184,47,327,110,241,76,186,65,194,50,244,74,183,78,239,52,252,90,338,140,197,133,164,189,119,153,46,70,42,96,49,113,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-08,어린이,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,2,1,3,0,0,1,3,5,5,1,3,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-08,청소년,0,0,1,0,0,0,2,33,8,77,6,2,19,4,13,4,14,11,11,6,29,3,44,11,47,14,42,28,23,17,18,6,12,7,6,13,16,15,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-08,경로,0,0,0,0,1,0,0,0,4,3,4,4,4,3,5,1,4,3,5,2,2,3,4,6,4,3,5,2,3,3,2,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-08,장애인,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,1,0,2,1,0,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,111-2,동춘동차고지 - 동춘동차고지,2023-08,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-08,일반인,0,0,41,0,23,0,61,7,183,8,108,8,78,4,73,6,108,9,66,6,76,10,106,17,137,14,136,12,91,11,54,5,31,3,22,6,31,12,21,3,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-08,어린이,0,0,0,0,0,0,18,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,15,0,14,0,4,2,2,0,4,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-08,청소년,0,0,0,0,1,0,15,0,4,2,7,0,10,1,4,0,8,1,14,0,5,0,77,0,30,3,65,1,37,6,11,9,8,4,6,0,9,4,16,0,0,0,0,0,0,0,0,0,
장미아파트,37092,515,인천지방법원 - 인천지방법원,2023-08,경로,0,0,0,0,0,0,0,0,0,1,2,2,13,0,8,1,4,0,0,1,5,0,8,0,6,1,4,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
